"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6240","TC-E2E-01 - a new user can register, buy and sign out @e2e @smoke","chromium","2026-08-26","passed","2026-08-26","End to end - full shopping journey","","",""
"","542","TC-LOGIN-05 - password missing is reported to the user @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Login","","",""
"","763","TC-API-04 - POST /api/signup creates an account @api @regression","chromium","2026-08-26","passed","2026-08-26","API - authentication endpoints","","",""
"","2635","TC-CART-01 - a course can be added to the cart @smoke @regression","chromium","2026-08-26","passed","2026-08-26","Cart - management","","",""
"","606","TC-PRAC-04 - right clicking raises the expected alert @regression","chromium","2026-08-26","passed","2026-08-26","Practise - interactions","","",""
"","1762","TC-SIGNUP-05 - multi-select hobbies and radio gender behave correctly @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Signup","","",""
"","650","TC-LOGIN-06 - email missing is reported to the user @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Login","","",""
"","3723","TC-CART-12 - a complete checkout enrolls and empties the cart @smoke @regression","chromium","2026-08-26","passed","2026-08-26","Cart - management","","",""
"","3734","TC-LOGIN-01 - a registered user can sign in @smoke @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Login","","",""
"","2723","TC-CART-09 - the enroll dialog opens with the cart total @regression","chromium","2026-08-26","passed","2026-08-26","Cart - management","","",""
"","566","TC-LOGIN-07 - the password field masks what is typed @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Login","","",""
"","2207","authenticate the shared test user","setup","2026-08-26","passed","2026-08-26","","","",""
"","3873","TC-HOME-04 - the sidebar links move between the app sections @regression","chromium","2026-08-26","passed","2026-08-26","Courses - Home page","","",""
"","3663","TC-LOGOUT-02 - signing out empties the cart @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Logout","","",""
"","2356","TC-CART-06 - re-adding a removed course leaves a single entry @regression","chromium","2026-08-26","passed","2026-08-26","Cart - management","","",""
"","2205","TC-HOME-05 - the catalogue is usable on a mobile viewport @regression","chromium","2026-08-26","passed","2026-08-26","Courses - Home page","","",""
"","1259","TC-SIGNUP-04 - the form offers the expected interests, states and hobbies @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Signup","","",""
"","4230","TC-LOGOUT-01 - a signed-in user can sign out @smoke @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Logout","","",""
"","1993","TC-SIGNUP-02 - the submit button stays disabled until the form is valid @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Signup","","",""
"","2787","TC-CART-11 - checkout without address or phone is not accepted @regression","chromium","2026-08-26","passed","2026-08-26","Cart - management","","",""
"","2855","TC-SIGNUP-03 - registering an email that already exists is rejected @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Signup","","",""
"","561","TC-API-02 - POST /api/signin rejects an unknown email @api @regression","chromium","2026-08-26","passed","2026-08-26","API - authentication endpoints","","",""
"","931","TC-API-03 - POST /api/signin rejects a wrong password @api @regression","chromium","2026-08-26","passed","2026-08-26","API - authentication endpoints","","",""
"","503","TC-PRAC-06 - every practise widget renders @regression","chromium","2026-08-26","passed","2026-08-26","Practise - interactions","","",""
"","557","TC-LOGIN-09 - a signed-out visitor sees no cart control @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Login","","",""
"","536","TC-PRAC-03 - double clicking raises the expected alert @regression","chromium","2026-08-26","passed","2026-08-26","Practise - interactions","","",""
"","2432","TC-CART-08 - the cart is written to browser storage @regression","chromium","2026-08-26","passed","2026-08-26","Cart - management","","",""
"","2876","TC-CART-04 - the add button toggles back after removing @regression","chromium","2026-08-26","passed","2026-08-26","Cart - management","","",""
"","1226","TC-SIGNUP-06 - the login link returns to the sign in form @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Signup","","",""
"","1921","TC-LOGIN-03 - wrong password for a registered email is rejected @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Login","","",""
